Time 			 -	 Probability 
0:00:03.606000   -   0.56
0:00:03.669000   -   0.48
0:00:03.733000   -   0.68
0:00:03.796000   -   0.72
0:00:03.859000   -   0.56
0:00:03.923000   -   0.76
0:00:04.112000   -   0.72
0:00:04.176000   -   0.72
0:00:04.239000   -   0.72
0:00:04.302000   -   0.68
0:00:04.365000   -   0.68
0:00:04.429000   -   0.72
0:00:04.492000   -   0.72
0:00:04.555000   -   0.6
0:00:04.619000   -   0.36
0:00:04.682000   -   0.72
0:00:04.745000   -   0.76
0:00:04.808000   -   0.76
0:00:04.872000   -   0.72
0:00:04.935000   -   0.72
0:00:04.998000   -   0.76
0:00:05.061000   -   0.68
0:00:05.125000   -   0.8
0:00:05.188000   -   0.72
0:00:05.251000   -   0.64
0:00:05.315000   -   0.72
0:00:05.378000   -   0.6
0:00:05.441000   -   0.72
0:00:05.504000   -   0.52
0:00:05.568000   -   0.08
0:00:05.631000   -   0.12
0:00:05.694000   -   0.48
0:00:07.276000   -   0.12
0:00:07.403000   -   0.6
0:00:39.040000   -   0.08
0:00:40.305000   -   0.04
0:00:41.697000   -   0.48
0:00:41.761000   -   0.32
0:00:41.824000   -   0.12
0:00:41.887000   -   0.2
0:00:41.950000   -   0.52
0:00:42.014000   -   0.52
0:00:42.077000   -   0.44
0:00:42.140000   -   0.44
0:00:42.204000   -   0.56
0:00:43.596000   -   0.24
0:00:43.659000   -   0.08
0:00:43.722000   -   0.04
0:00:43.849000   -   0.4
0:00:43.912000   -   0.56
0:00:43.975000   -   0.48
0:00:44.038000   -   0.2
0:00:44.102000   -   0.44
0:00:44.165000   -   0.72
0:00:44.228000   -   0.64
0:00:44.292000   -   0.56
0:00:44.355000   -   0.04
0:00:44.481000   -   0.16
0:00:44.545000   -   0.56
0:00:44.608000   -   0.6
0:00:44.671000   -   0.16
0:00:44.735000   -   0.08
0:00:44.798000   -   0.6
0:00:44.861000   -   0.44
0:00:44.924000   -   0.52
0:00:44.988000   -   0.6
0:00:45.051000   -   0.12
0:00:45.114000   -   0.4
0:00:45.241000   -   0.32
0:00:45.304000   -   0.28
0:00:45.367000   -   0.2
0:00:45.557000   -   0.2
0:00:45.620000   -   0.2
0:00:45.684000   -   0.04
0:00:45.937000   -   0.16
0:00:48.025000   -   0.4
0:00:48.151000   -   0.12
0:00:48.215000   -   0.08
0:00:48.468000   -   0.6
0:00:48.531000   -   0.52
0:00:48.721000   -   0.68
0:00:48.784000   -   0.52
0:00:48.911000   -   0.44
0:00:48.974000   -   0.08
0:00:49.037000   -   0.72
0:00:49.100000   -   0.08
0:00:49.164000   -   0.12
0:00:49.227000   -   0.08
0:00:49.290000   -   0.48
0:00:49.354000   -   0.48
0:00:49.480000   -   0.28
0:00:49.543000   -   0.08
0:00:49.670000   -   0.16
0:00:49.733000   -   0.6
0:00:49.796000   -   0.32
0:00:49.860000   -   0.4
0:00:49.923000   -   0.12
0:00:49.986000   -   0.04
0:00:50.050000   -   0.4
0:00:50.113000   -   0.28
0:00:50.176000   -   0.24
0:00:50.239000   -   0.12
0:00:50.303000   -   0.08
0:00:50.366000   -   0.16
0:00:50.429000   -   0.04
0:00:50.492000   -   0.52
0:00:50.556000   -   0.16
0:00:50.619000   -   0.12
0:00:50.682000   -   0.04
0:00:50.935000   -   0.16
